calorie,category,img,salt,title,type,url
636kcal,rice,/homecook/search/recipe/img/00004362.jpg,2.5g,カリフラワーオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00004362/index.html
432kcal,rice,/homecook/search/recipe/img/00004363.jpg,1.6g,ハロウィンデコ弁（かぼちゃオムライス）,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00004363/index.html
759kcal,rice,/homecook/search/recipe/img/00005498.jpg,2.7g,ハロウィンオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00005498/index.html
723kcal,rice,/homecook/search/recipe/img/00005797.jpg,2.5g,リコピンたっぷり！ふわふわ卵のオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00005797/index.html
395kcal,rice,/homecook/search/recipe/img/00002912.jpg,2.1g,オムライス（園児のお弁当用）,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00002912/index.html
579kcal,rice,/homecook/search/recipe/img/00006042.jpg,2.1g,オムライスブーケ,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00006042/index.html
496kcal,rice,/homecook/search/recipe/img/00000236.jpg,1.1g,きのことチーズのオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00000236/index.html
551kcal,rice,/homecook/search/recipe/img/00004090_20180807081025899.jpg,2.2g,ふわふわオムライス（洋ごはんつくろ使用）,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00004090/index.html
902kcal,rice,/homecook/search/recipe/img/00006327.jpg,4.4g,包丁いらず！ツナチーズオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00006327/index.html
561kcal,rice,/homecook/search/recipe/img/00001243.jpg,2.0g,変わりオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00001243/index.html
